,AIRPORT NAME,SCORE,RATED,ACCREDITED,LEVEL,RANKED,ISO 14001,ISO 14064,ISO 50001,ISO 9001,ISO 9000,ISO 10002,ISO 31000,ISO 41001,ISO 45001,ISO 50501,ISO 26000,ISO 22301,ISO 20000,Environment Monitoring Centre,Air Quality,Water Quality,Wastewater,Solid Waste,Fluid Waste,Pollution,Deicing,Noise,Energy,Emissions,Climate Change,Material Purchase Database,Revenue (million USD),Aircraft Movements,Passengers (million),Cargo (ton),Employees,Solar,Electric,Wind,Optimization,Replcement LED,(mostly seawater and treated wastewater),Rain Water,Treatment,Metering,Fixtures (Opt),People Affected,CO2 saved (tonnes),GHG/Passenger,Total carbon emission,GHG Scope 1 (ton),GHG Scope 2,Scope 1 + 2,GHG Scope 3,GHG Total,Waste Generated/Passenger,Hazardous Waste processing,Waste Reused/Recycled,Waste Recycling Rate,Waste Generated,Sewage Volume (m3),Sewage treated/recycled (m3),Wastewater Generated (m3),Wastewater recycled (m3),Water use/passenger (L),Electricty Usage (KWh),Electricity usage/per passenger,RE Electricity Generated (KWh)
1,Budapest Ferenc Liszt International Airport,0.03,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,294.76,86682,9.155961,89987,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.8,0,0,0,0.76,1700,0,0,0,0,0,0,0,0
2,Warsaw Frederic Chopin Airport,0.05,0,1,1,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,171.15,142700,9.337,7940,9000,0,0,0,1,0,39,0,1,0,0,166,0,0,40049,0,0,0,0,0,0,184079,114.485,0.00,4050.5388,0,0,0,0,0,0,5,0
3,Malta International Airport,0.07,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,81.07,42987,6,16177065,15300,0,0,0,0,0,24,1,0,0,0,0,0,0,9961.568,164,9762,0,0,0,0,0,79.189,0.00,459960,0,0,0,0,0,12699947,3,202073
4,Beijing Capital International Airport,0.08,0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1240.32,606000,94.39,1943000,1623,0,0,0,0,1,0,1,1,0,0,1605,0,0,242318.59,1247.15,227318.59,0,0,0,0,0,2000,0.00,37150,0,8400000,0,0,0,610000,6.40,110000
5,San Diego International Airport,0.1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,181.637882,187322,17,152452,3953,0,0,0,1,1,14,0,1,0,0,22714,0,0,0,0,0,0,0,0,0,213,1052,0.00,6550,0,0,0,0,0,0,0,0
6,Václav Havel Airport Prague,0.12,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,223.42,149000,15.4,0,3704,0,0,0,0,0,23,0,1,0,0,73,5100,0,0,0,0,0,0,0,0,0,0,0.00,5130.18,0,166775,0,0,0,0,0,0
7,Christchurch International Airport,0.21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,200,70297,7.3,0,6000,0,0,0,1,0,0.69,0.00,0.00,1.00,0.00,12,0.00,0.00,0,0,0,3314.3,0,70.7,0.1,0,45.4,0.55,0,0,0,0,0,10.38,0,0,0
8,Kraków John Paul II International Airport,0.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,32.87,46264,6,3242000,615,0,0,0,1,0,12,0,1,0,0,91,0,0,0,0,0,0,0,797703,0,0,42,0.00,8161,101409,0,0,0,0,0,0,0
9,Dallas Fort Worth International Airport,0.3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,425,657000,73,910500,1996,1,0,1,0,0,0,0,1,1,1,0,0,0,45000,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,64.32,0,0,0
10,Indiana Polis International Airport,0.32,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5400,52195,730,0,10170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,2300,0,0,0,0,0,0,0,0
